Código Cliente,nome_cliente,volume_total,preco_liquido_ponderado,margem_pct_ponderada,frequencia_mensal,taxa_devolucao,produtos,cluster
1786724,"ARMAC LOCACAO, LOGISTICA E SERVICOS",1.4,13912.292857142857,0.17338622934188214,3.3333333333333335,0.0,7,0
1786722,"ARMAC LOCACAO, LOGISTICA E SERVICOS",0.09,9943.222222222223,0.1015543809853725,2.0,0.0,2,0
1786715,CENTRAIS ELETRICAS BRASILEIRAS SA E,2.42,10854.553719008265,0.10066575250056913,1.0,0.16666666666666666,2,0
1786713,MAGE MINERACAO LTDA,6.96,12302.6091954023,0.1728414540603012,2.5,0.0,21,0
1786705,CIA. DE GER. E TRANSM. DE EN. ELET.,0.2,12674.849999999999,0.1412639991794775,1.0,0.0,1,0
1786701,MAKRO ENGENHARIA LTDA,0.4,14000.625,0.1490237042989152,2.0,0.0,2,0
1786360,CONCRECITY PRESTACAO DE SERVICOS EM,5.78,11702.186851211072,0.2197344594746435,2.3076923076923075,0.03225806451612903,8,0
8081,CEMAG - CEARA MAQUINAS AGRICOLAS LT,5.4,10975.177777777777,0.2195798397596192,1.1304347826086956,0.0,4,0
8070,COSMAC - INDUSTRIA E COMERCIO DE MA,0.36000000000000004,15046.888888888887,0.16786785012774882,2.6666666666666665,0.0,4,0
7927,CERAMA TRANSPORTES LTDA,7.550000000000001,12124.449006622515,0.1450187836760029,1.3636363636363635,0.0,5,0
7909,AUTO VIACAO FORTALEZA LTDA,12.09,14433.037220843673,0.1393646320344683,2.0,0.0136986301369863,8,0
7879,ISELETRICA LTDA,6.260000000000001,13493.509584664534,0.23813839265049572,1.5789473684210527,0.0,8,0
7877,CHAVES SA MINERACAO E INDUSTRIA,8.1,14387.695061728396,0.2008811885121657,5.0,0.0,14,0
7858,CORAL CONSTRUTORA RODOVALHO ALENCAR,0.3,14581.599999999999,0.24002852910517367,1.0,0.3333333333333333,1,0
7848,VIACAO PERNAMBUCANA TRANSPORTE E TU,0.04,11480.25,0.07547745040395461,1.0,0.0,1,0
1889068,BETUNEL INDUSTRIA E COMERCIO S/A,9.8,14022.023469387752,0.044429597376081056,1.0,0.0,1,0
1889054,CONSORCIO EXPRESSO 2 DE JULHO,1.0,14523.67,0.09940462706740101,3.0,0.0,3,0
1888929,FSALLMAC DO BRASIL IMP. E EXP. DE M,4.0,12202.5525,0.22678861656198568,1.0,0.0,1,0
1888778,PINA FUNDACOES LTDA,3.46,13426.121387283236,0.21548861485181806,3.0,0.0,6,0
1888467,OTIMA TRANSPORTES DE SALVADOR SPE S,0.2,11762.5,0.17003188097768332,1.0,0.0,1,0
1888381,CARGO BRASIL TRANSPORTES LTDA,0.6,13856.166666666668,0.06669112428882447,1.0,0.0,1,0
1888348,BARRETO AGRICULTURA LTDA,0.11000000000000001,13460.363636363634,0.13369894099848717,4.0,0.0,4,0
1887391,TRANSAGRO TRANSPORTE MANUTENCAO LTD,4.1,12954.058536585368,0.09349927812434336,5.0,0.0,5,0
1785367,CENTRAIS ELETRICAS BRASILEIRAS SA E,0.16,11415.125,0.17225501253818945,1.0,0.0,1,0
1785287,CENTRAIS ELETRICAS BRASILEIRAS SA E,0.5,12594.880000000001,0.13516921161614878,1.0,0.0,3,0
8978,GUARAVES GUARABIRA AVES LTDA,3.39,14454.734513274336,0.18084876906954986,2.1666666666666665,0.0,14,0
8969,ENGEPETROL LTDA,1.6400000000000001,14962.10975609756,0.13933651915855744,1.7272727272727273,0.0,4,0
8802,CONSTRUTORA SAM LTDA,1.9900000000000002,11861.597989949749,0.21774587813043061,1.9,0.0,10,0
8742,INDUSTRIAS DUREINO S. A.,10.360000000000001,12668.00965250965,0.14396903762540522,2.096774193548387,0.014925373134328358,14,0
8627,ALVOAR LACTEOS NORDESTE S/A,3.6,12790.8,0.2167278217329817,1.0,0.0,2,0
8595,BARRO FORTE INDUSTRIA DE CERAMICA L,2.2,12141.627272727272,0.17146121644620047,2.5,0.0,4,0
8590,ITAPICURU AGRO INDUSTRIAL SA,8.690000000000001,14054.466052934406,0.23952253484327904,2.6666666666666665,0.0,17,0
8419,CONPEL COMPANHIA NORDESTINA DE PAPE,2.5500000000000003,15699.270588235293,0.2922401290530795,3.7777777777777777,0.0,5,0
8374,VIACAO SANTA ROSA LTDA,9.77,13812.721596724668,0.1993440695829553,3.875,0.0,9,0
8324,MINERADORA DE CALCARIO ANTONIO ALME,7.8,12760.65,0.12990968730292354,1.1875,0.0,2,0
8309,REAL ARAPIRACA VIACAO LTDA,7.74,13256.383720930233,0.1284839511284164,2.75,0.0,8,0
8285,TRANSNACIONAL TRANSPORTES URBANOS L,6.65,13552.938345864663,0.09039773191264242,2.923076923076923,0.0,13,0
8129,LINSELETRICA LTDA,0.2,10016.25,0.16492699363534255,1.0,0.0,1,0
8128,TEXTIL UNIAO S A,2.2800000000000002,13981.311403508771,0.21833562910890758,1.5714285714285714,0.08333333333333333,5,0
9038,"ALVES, BARRETO COMERCIO E CONSTRUCO",2.4,11652.875000000002,0.1966531864454051,1.0,0.0,1,0
9029,TRANSBARROS TRANSPORTADORA BARROS L,0.28,11447.392857142855,0.20225441226480143,2.5,0.0,4,0
1786346,E M SANTOS AGROINDUSTRIA COMERCIO L,1.1300000000000001,12513.902654867255,0.17045183728398364,1.7142857142857142,0.0,7,0
1786257,K.M.SILVA TRANSPORTES LTDA,0.2,11496.749999999998,0.09567921369082567,1.0,0.0,1,0
1786179,VILASA CONSTRUTORA S/A.,3.0,11115.326666666668,0.09210315606258984,3.6666666666666665,0.0,7,0
1786072,RODOLOMAS TRANSPORTES LTDA,1.1,12798.718181818182,0.16560607276723024,2.75,0.0,5,0
