cnpj_14,cnpj_basico,cnpj_ordem,cnpj_dv
19632116001909,19632116,0019,09
19632116000171,19632116,0001,71
25102203000110,25102203,0001,10
07109963000177,07109963,0001,77
33845322001405,33845322,0014,05
33845322001839,33845322,0018,39
33845322000514,33845322,0005,14
33845322001081,33845322,0010,81
33845322000271,33845322,0002,71
33845322000433,33845322,0004,33
33845322000603,33845322,0006,03
33845322000786,33845322,0007,86
33845322002134,33845322,0021,34
33845322001677,33845322,0016,77
33845322001596,33845322,0015,96
33845322002053,33845322,0020,53
33845322001324,33845322,0013,24
33845322002304,33845322,0023,04
02835264000190,02835264,0001,90
04702287000152,04702287,0001,52
13805542000183,13805542,0001,83
18365700000145,18365700,0001,45
02229411000189,02229411,0001,89
32219620000102,32219620,0001,02
11545190000149,11545190,0001,49
30278846000159,30278846,0001,59
19974518000316,19974518,0003,16
01095662000155,01095662,0001,55
01095662000406,01095662,0004,06
07015824000184,07015824,0001,84
08450457000100,08450457,0001,00
02373485000194,02373485,0001,94
17256140000128,17256140,0001,28
08778880000133,08778880,0001,33
09222108000101,09222108,0001,01
17799438000346,17799438,0003,46
06935887000196,06935887,0001,96
00016798430600,00016798,4306,00
03334595000100,03334595,0001,00
42977769000104,42977769,0001,04
68539857000118,68539857,0001,18
44161185000272,44161185,0002,72
19537752003482,19537752,0034,82
19537752004020,19537752,0040,20
19537752003806,19537752,0038,06
19537752005426,19537752,0054,26
19537752004969,19537752,0049,69
19537752004373,19537752,0043,73
29060647000603,29060647,0006,03
06983881000356,06983881,0003,56
20448221000134,20448221,0001,34
16652460000134,16652460,0001,34
86528700000179,86528700,0001,79
26335879000116,26335879,0001,16
19451038000109,19451038,0001,09
12059896000163,12059896,0001,63
19183318000183,19183318,0001,83
38460234000194,38460234,0001,94
09042829000121,09042829,0001,21
18041863000172,18041863,0001,72
08870769000172,08870769,0001,72
65348468000117,65348468,0001,17
09604819000132,09604819,0001,32
11321644000106,11321644,0001,06
20850400000101,20850400,0001,01
17162637000187,17162637,0001,87
07287580000431,07287580,0004,31
07513293000150,07513293,0001,50
42950501000189,42950501,0001,89
07636657001403,07636657,0014,03
26183699000166,26183699,0001,66
21992946000151,21992946,0001,51
10403238000111,10403238,0001,11
17698002000107,17698002,0001,07
17210212000104,17210212,0001,04
15503794000264,15503794,0002,64
36312056002687,36312056,0026,87
06924952000188,06924952,0001,88
20127759000147,20127759,0001,47
21787981000139,21787981,0001,39
16942195000129,16942195,0001,29
16942195001109,16942195,0011,09
21483359001109,21483359,0011,09
03612518000174,03612518,0001,74
03612518000336,03612518,0003,36
