cnpj_14,cnpj_basico,cnpj_ordem,cnpj_dv,identificador_matriz_filial,situacao_cadastral,uf,municipio,cnae_fiscal_principal,cnae_principal_descricao,cnae_fiscal_secundaria
16583748000102,16583748,0001,02,1,02,SP,6687,6462000,Holdings de instituições não-financeiras,"0119909,0133499,0151201,4110700,4120400,4621400,4637199,6463800,6810201,7020400,7739099"
16726303000126,16726303,0001,26,1,02,MG,5317,1610205,Serviço de tratamento de madeira realizado sob contrato,"0161002,0161003,0161099,0163600,0210101,0210107,0210108,4671100,4744002,4744004,4744099,4930202"
16750632000102,16750632,0001,02,1,02,PE,2321,0810005,Extração de gesso e caulim,"0810010,0891600,0810007"
97550973000136,97550973,0001,36,1,02,PE,2543,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","4930201,4930203,4930204,5120000,5211701,5211799,5212500,7112000,8211300"
61584223001886,61584223,0018,86,2,02,SP,6281,3314799,Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente,"4120400,4292802,4313400,4211101,4212000,4213800,4223500,4299599,4222701,4221901,4291000,4311801,4312600,4319300,4321500,4322301,4329101,4330401,4330402,4330403,4330404,4330499,4391600,4399101,4399102,4399103,4399105,4399199"
03286850000277,03286850,0002,77,2,02,GO,9215,4221901,Construção de barragens e represas para geração de energia elétrica,"3511501,4221902,4930202,0111301,0115600,0151201,0161003,7732201,7820500"
17684344000160,17684344,0001,60,1,02,TO,9733,8411600,Administração pública em geral,
03801924001580,03801924,0015,80,2,02,MS,9003,0151201,Criação de bovinos para corte,"0113000,0139306,0210101"
17848016000151,17848016,0001,51,1,02,SP,6357,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",4930203
10280806000134,10280806,0001,34,1,02,MT,9151,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","4930201,4930203,4930204,5250803,5250804,5250805"
17979757000171,17979757,0001,71,1,02,PR,7777,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",
13053302000250,13053302,0002,50,2,02,MG,5403,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",4930201
18119493000149,18119493,0001,49,1,02,MG,5167,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",
08528222000193,08528222,0001,93,1,02,GO,9497,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,"0810006,0810007,0990403,4930201,4930202,6810201,6810202,7732201"
08257539000213,08257539,0002,13,2,02,MA,0943,0891600,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos","5030101,7210000"
05484996001909,05484996,0019,09,2,02,BA,3805,4681804,Comércio atacadista de combustíveis de origem mineral em bruto,"3520401,4930203"
14676824000190,14676824,0001,90,1,02,SC,8367,4520001,Serviços de manutenção e reparação mecânica de veículos automotores,4530703
