cnpj_basico,cnae_mais_frequente,cnae_descricao,n_estabelecimentos_encontrados,n_cnaes_distintos
30796425,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",1,1
50421337,3314710,Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente,1,1
53471219,1099604,Fabricação de gelo comum,1,1
63119095,4211101,Construção de rodovias e ferrovias,1,1
00555887,3312103,Manutenção e reparação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,1,1
04051795,5250803,"Agenciamento de cargas, exceto para o transporte marítimo",1,1
10883162,4930203,Transporte rodoviário de produtos perigosos,1,1
10976297,4313400,Obras de terraplenagem,1,1
11515451,0810002,Extração de granito e beneficiamento associado,1,1
97528318,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",1,1
19652702,4313400,Obras de terraplenagem,1,1
28541171,7112000,Serviços de engenharia,1,1
26837290,3313901,"Manutenção e reparação de geradores, transformadores e motores elétricos",1,1
55151863,3314702,"Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto válvulas",1,1
28679017,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",3,2
06084516,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
00000038,8690999,Outras atividades de atenção à saúde humana não especificadas anteriormente,1,1
00060029,4619200,Representantes comerciais e agentes do comércio de mercadorias em geral não especializado,1,1
70430681,4789099,Comércio varejista de outros produtos não especificados anteriormente,2,2
04676236,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,1,1
08664187,2229302,Fabricação de artefatos de material plástico para usos industriais,1,1
04713363,4211101,Construção de rodovias e ferrovias,1,1
10725679,4672900,Comércio atacadista de ferragens e ferramentas,3,3
41550112,4922102,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual",92,5
30689889,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",21,1
32318949,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,1
59320820,2222600,Fabricação de embalagens de material plástico,22,5
19199348,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",61,3
79114450,4692300,"Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários",311,46
81804684,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",28,4
02302100,3514000,Distribuição de energia elétrica,59,3
04787941,4922102,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual",13,2
04140159,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
13786785,2342701,Fabricação de azulejos e pisos,20,7
14492342,4922101,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",27,3
78352663,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",39,6
18316968,6810202,Aluguel de imóveis próprios,4,3
19059849,4731800,Comércio varejista de combustíveis para veículos automotores,26,6
00932703,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",5,1
23640204,0721901,Extração de minério de alumínio,119,9
23805088,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",5,3
