Código Cliente,nome_cliente,cnae_descricao,estado_cliente,cluster,familia_principal,frequencia_mensal,nivel_frequencia,margem_pct_ponderada,nivel_margem,frete_por_m3,receita_liquida_total
1026159,CERAMICA CERMAR LTDA,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",Piauí,2,GEAR,1.0,Ocasionais,0.4651012368584905,Alta,76.25555555555555,33502.62
1845745,REWAN COLETA DE RESIDUOS LTDA,Coleta de resíduos não-perigosos,Minas Gerais,2,TOP TURBO,2.5714285714285716,Regulares,0.1944590099955413,Alta,691.1428571428572,18346.18
1845742,WILLIAN LOCATELLI LTDA,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Rio Grande do Sul,2,CHASSIS,1.0,Ocasionais,0.0445267289506323,Baixa,1074.6818181818182,3329.91
1845560,"ARMAC LOCACAO, LOGISTICA E SERVICOS","Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",Bahia,2,LITH EP,1.0,Ocasionais,0.1421670816110164,Média,1637.2872318840537,3357.88
1845470,REINALDO SGARIBOLDI E OUTROS,Cultivo de cana-de-açúcar,São Paulo,2,UNITRACTOR,1.3333333333333333,Ocasionais,0.0687925029707908,Baixa,515.1406844106465,42589.67
1845127,RL TRANSPORTADORA DE CARGAS LTDA,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Goiás,2,GL 5,1.3333333333333333,Ocasionais,0.0731297330981527,Baixa,0.0,37871.6
1842806,BRT AMAZONIA S.A.,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",Pará,2,TOP TURBO AVANTE,1.3333333333333333,Ocasionais,0.2188418666142094,Alta,325.55251141552515,54596.82
40458,FURNAS - CENTRAIS ELETRICAS S.A.,Geração de energia elétrica,Mato Grosso,2,UTILE,1.0,Ocasionais,0.1018798320317099,Baixa,1020.25,1274.05
39064,TRANSPORTES RODOVIARIOS VALE DO PIQ,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Paraná,2,TOP TURBO PRO,1.0,Ocasionais,0.0730419815312253,Baixa,591.475,29815.73
39009,PAUPEDRA PEDREIRAS PAVIMENTACOES E,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,São Paulo,2,GL 5 LS,1.0,Ocasionais,-0.0009738631834719,Baixa,265.325,6222.639999999999
38938,CONSTRUTORA A GASPAR S/A,Construção de obras de arte especiais,Rio Grande do Norte,2,LITHPLUS EP,1.3125,Ocasionais,0.1471944465897681,Média,809.578947368421,15408.19
1841381,"ARMAC LOCACAO, LOGISTICA E SERVICOS","Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",São Paulo,2,LITH EP,3.0,Regulares,0.193408881946983,Alta,368.8518518518518,4513.65
1841366,CAMES RETIFICA E TRANSMISSOES LTDA,Serviços de manutenção e reparação mecânica de veículos automotores,Pernambuco,2,TOP TURBO PRO,1.3333333333333333,Ocasionais,0.1439977999479265,Média,617.1071428571428,9563.41
1840909,TRANSPORTADORA PERLOPES LTDA,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Mato Grosso do Sul,2,TOP TURBO PRO,1.4,Ocasionais,0.2074499383780873,Alta,730.2516393442623,240612.46
1837972,"ARMAC LOCACAO, LOGISTICA E SERVICOS","Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",Pará,2,TOP TURBO,2.0,Regulares,0.0807610300147613,Baixa,1126.5,609.7
37896,EUCLIDES RENATO GARBUIO TRANSPORTES,Transporte rodoviário de produtos perigosos,São Paulo,2,GL 5,1.0,Ocasionais,0.2829907380661423,Alta,0.0,101503.64
1844700,SEASTAR BRASIL SERVICOS MARITIMOS L,Navegação de apoio marítimo,Rio de Janeiro,2,UTILE,1.0,Ocasionais,0.0823507393859897,Baixa,231.1,18541.06
41556,TRANSPORTE PADOVANI LTDA,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",São Paulo,2,TRM 5,3.0,Regulares,0.1159467879768378,Baixa,0.0,4994.360000000001
41478,GUACU TUR TRANSPORTES E TURISMO LTD,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",Paraná,2,GOLD,1.0,Ocasionais,0.139975088687426,Média,544.2714285714286,15856.25
1842826,VDA LOGISTICA LTDA,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",São Paulo,2,TOP TURBO,3.6666666666666665,Frequentes,0.0832803780377005,Baixa,358.36330935251794,43574.49
199232,WSC AGROPECUARIA S.A.,Criação de bovinos para corte,Mato Grosso,2,UNITRACTOR PREMIUM,1.0,Ocasionais,0.0184419409315508,Baixa,1637.2872318840537,10546.07
199102,MADRESILVA INDUSTRIA DE MOVEIS LTDA,Fabricação de móveis com predominância de madeira,Ceará,2,TOP TURBO,1.0,Ocasionais,0.1470089526013981,Média,562.4553571428571,17574.78
1003079,INDUSTRIAS REUNIDAS RENDA S/A,Fabricação de embalagens metálicas,Pernambuco,2,LITH,1.0,Ocasionais,0.1964826184711172,Alta,550.75,925.12
1003029,JSL S/A.,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Mato Grosso,2,TOP TURBO,2.5,Regulares,0.074837612162898,Baixa,1151.7906976744187,16306.64
1003006,JSL S/A.,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",São Paulo,2,TOP TURBO,1.0,Ocasionais,0.0468741341738907,Baixa,259.51063829787233,7759.93
1000814,AGRODANIELI INDUSTRIA E COMERCIO LT,Fabricação de adubos e fertilizantes organo-minerais,Rio Grande do Sul,2,GEAR,1.0,Ocasionais,0.1568317223527566,Média,1040.0684931506848,11218.84
1006721,LOGISTICA BUENO CRUZ LTDA,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Minas Gerais,2,AUTOLITH,3.5,Regulares,0.2456110627469363,Alta,494.5402298850575,14933.0
46296,EXPRESSO GUANABARA LTDA,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",Ceará,2,TOP TURBO,2.0476190476190474,Regulares,0.2079956232878395,Alta,868.2757715036113,239302.92
45765,RDG ACOS DO BRASIL S/A,"Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção",Espírito Santo,2,TOP TURBO,1.25,Ocasionais,0.1125435540069686,Baixa,519.3782608695651,71233.4
45055,INTERLANDIA LIMITADA,Fabricação de produtos de limpeza e polimento,Pernambuco,2,TOP TURBO,1.0,Ocasionais,0.1650258566637105,Média,350.4701086956522,56809.34
1840092,DELTA PRODUTOS E SERVICOS LTDA,Fabricação de móveis com predominância de metal,Rio de Janeiro,2,UTILE,1.0,Ocasionais,0.0709178873716131,Baixa,329.80898876404495,14743.53
1836868,ECO FORTE BIOENERGIA LTDA,Serrarias com desdobramento de madeira em bruto,Amapá,2,TOP TURBO,1.3333333333333333,Ocasionais,0.1730218714978282,Média,1206.3691489361702,168841.66
194313,TW TRANSPORTES E LOGISTICA LTDA,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",São Paulo,2,TOP TURBO PRO,1.0,Ocasionais,0.2423966973449986,Alta,279.375,1320.15
